label,precision,recall,f1,support,accuracy_ova,balanced_accuracy_ova,tp,fp,fn,tn
BENIGN,0.9847017430439864,0.9298859413798569,0.9565091374589018,170351,0.9436263095485017,0.95049641297414,158407,2461,11944,82715
Bot,0.44907407407407407,0.24808184143222506,0.31960461285008235,391,0.9983837324431469,0.6238077117608887,97,119,294,255017
DDoS,0.8031220950732442,0.9785962582509862,0.882218309859155,25603,0.9738188136674403,0.9759415417313977,25055,6142,548,223782
DoS GoldenEye,0.6926298157453936,0.8040836169178415,0.744206974128234,2057,0.995550372367695,0.9005939053540168,1654,734,403,252736
DoS Hulk,0.9899778297445865,0.9429273936939543,0.965879965035483,34570,0.9909872537931412,0.9707169452165694,32597,330,1973,220627
DoS Slowhttptest,0.37530864197530867,0.8718929254302104,0.5247410817031071,1046,0.9935349297725876,0.9329639217788467,912,1518,134,252963
DoS slowloris,0.19426425401160805,0.5283194057567316,0.28407388916625065,1077,0.9887761371596739,0.7595222495476526,569,2360,508,252090
FTP-Patator,0.983249581239531,0.9890480202190396,0.9861402771944561,1187,0.9998708551346824,0.9944846926604358,1174,20,13,254320
Heartbleed,0.0,0.0,0.0,2,0.9999843460769312,0.4999960864886019,0,2,2,255523
Infiltration,0.0036496350364963502,0.14285714285714285,0.0071174377224199285,7,0.9989081388659515,0.5708943666696484,1,273,6,255247
PortScan,0.8874676488154489,0.9816670336930191,0.9321936428272689,18164,0.9898484308898864,0.9860707694932995,17831,2261,333,235102
SSH-Patator,0.9899328859060402,0.9161490683229814,0.9516129032258065,644,0.9997651911539681,0.9580627640552066,590,6,54,254877
Web Attack � Brute Force,0.674074074074074,0.9285714285714286,0.7811158798283262,294,0.9994012374426186,0.9640271270340658,273,132,21,255101
Web Attack � Sql Injection,0.0,0.0,0.0,4,0.9999843460769312,0.5,0,0,4,255523
Web Attack � XSS,0.4444444444444444,0.03076923076923077,0.05755395683453238,130,0.999487334019497,0.515374826702681,4,5,126,255392
