,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP - Patator,Heartbleed,Infiltration,PortScan,SSH - Patator,WebAttack-BruteForce,WebAttack-SQLi,WebAttack-XSS
BENIGN,0.9991949320311468,0.00023316176147111873,8.798557036645991e-06,0.0,0.00012757907703136686,1.0998196295807488e-05,4.3992785183229954e-06,0.0,0.0,0.0,0.000415731819981523,2.1996392591614977e-06,0.0,0.0,2.1996392591614977e-06
Bot,0.06361323155216285,0.9363867684478372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.00011716004061548074,0.0,0.9998828399593845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS GoldenEye,0.0009713453132588635,0.0,0.0,0.9985429820301117,0.0,0.00048567265662943174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,6.491398896462187e-05,0.0,0.0,6.491398896462187e-05,0.9998485340257492,0.0,0.0,0.0,0.0,0.0,2.1637996321540626e-05,0.0,0.0,0.0,0.0
DoS Slowhttptest,0.0009090909090909091,0.0,0.0,0.0,0.0,0.9936363636363637,0.005454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS slowloris,0.0008628127696289905,0.0,0.0,0.0,0.0008628127696289905,0.001725625539257981,0.9956859361518551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008628127696289905
FTP - Patator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993702770780857,0.0,0.0,0.0,0.0,0.0,0.0,0.0006297229219143577
Heartbleed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Infiltration,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
PortScan,0.00012584156546907444,0.0,0.0,0.0,0.00022022273957088027,0.0,3.146039136726861e-05,0.0,0.0,0.0,0.9995595545208582,0.0,0.0,0.0,6.292078273453722e-05
SSH - Patator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WebAttack-BruteForce,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7807308970099668,0.006644518272425249,0.2059800664451827
WebAttack-SQLi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WebAttack-XSS,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.5615384615384615,0.0,0.4230769230769231
