feature,gain,weight,cover
Bwd Packet Length Min,4813.0634765625,341.0,9234.6982421875
PSH Flag Count,3507.42822265625,519.0,7162.5439453125
act_data_pkt_fwd,2448.46435546875,622.0,9073.685546875
Bwd Packet Length Std,1563.3759765625,902.0,15335.654296875
Total Length of Bwd Packets,1499.501953125,1301.0,6306.8046875
Idle Mean,1231.2003173828125,316.0,1714.3087158203125
Fwd Packet Length Min,1127.4224853515625,340.0,13444.0576171875
Subflow Bwd Bytes,1113.4835205078125,198.0,6537.2763671875
Total Fwd Packets,1047.2816162109375,850.0,4515.595703125
Average Packet Size,1020.612548828125,1046.0,9703.2578125
Idle Max,916.653076171875,210.0,2347.566162109375
Fwd Packet Length Mean,896.026123046875,1164.0,8564.125
Subflow Bwd Packets,831.9317016601562,130.0,3714.6181640625
Avg Fwd Segment Size,816.6279296875,199.0,13580.771484375
SYN Flag Count,799.5969848632812,30.0,34033.453125
Bwd Header Length,762.245361328125,846.0,5019.08203125
Active Std,704.5986938476562,156.0,22659.453125
Total Backward Packets,568.1941528320312,896.0,2585.538330078125
Fwd PSH Flags,568.1484985351562,175.0,29726.689453125
Packet Length Mean,549.495849609375,914.0,8439.79296875
Total Length of Fwd Packets,547.672607421875,1648.0,7482.9931640625
Bwd Packet Length Mean,434.6009521484375,1016.0,8934.966796875
Min Packet Length,421.7921447753906,328.0,13350.291015625
FIN Flag Count,417.128662109375,444.0,5518.67236328125
min_seg_size_forward,385.6174621582031,1434.0,4284.47509765625
Init_Win_bytes_backward,376.7721862792969,5671.0,5071.73291015625
Max Packet Length,320.8017272949219,737.0,6039.96484375
Fwd Packet Length Max,307.6529541015625,1239.0,2467.059814453125
Bwd Packets/s,301.3297424316406,12650.0,1530.241455078125
Fwd Header Length.1,226.5579833984375,501.0,4890.02685546875
Fwd Header Length,224.4114227294922,2497.0,5659.2587890625
Packet Length Std,203.147216796875,951.0,1709.628662109375
Destination Port,189.15721130371094,25727.0,1401.4927978515625
Subflow Fwd Packets,160.94320678710938,94.0,2156.618896484375
Avg Bwd Segment Size,145.87811279296875,198.0,6793.12744140625
Active Mean,145.24176025390625,1642.0,1898.0970458984375
Bwd IAT Mean,129.676513671875,1867.0,3203.90771484375
Bwd IAT Min,125.80546569824219,3398.0,3921.88916015625
Subflow Fwd Bytes,101.33904266357422,218.0,6023.876953125
Bwd Packet Length Max,96.32486724853516,662.0,1739.16064453125
Fwd Packet Length Std,85.654541015625,1401.0,6636.4765625
Init_Win_bytes_forward,77.51069641113281,15539.0,1014.6282958984375
ACK Flag Count,64.96395111083984,612.0,1151.201416015625
Bwd IAT Total,64.31745910644531,2159.0,591.7345581054688
Packet Length Variance,60.87049102783203,244.0,1047.6893310546875
Down/Up Ratio,58.500797271728516,518.0,14741.2294921875
Fwd IAT Std,53.90459060668945,25017.0,316.0481872558594
Active Min,52.935218811035156,1393.0,1983.072509765625
Flow IAT Mean,40.93381881713867,13867.0,571.2011108398438
Flow IAT Std,34.04914093017578,9688.0,633.1533203125
Bwd IAT Std,25.935453414916992,12626.0,698.2283935546875
Active Max,22.838911056518555,1268.0,875.7466430664062
Bwd IAT Max,22.37893295288086,2120.0,485.7900085449219
Idle Min,20.234920501708984,2488.0,402.2985534667969
Fwd IAT Min,19.265331268310547,36896.0,803.1898193359375
Flow IAT Max,19.152570724487305,13336.0,393.29833984375
URG Flag Count,17.79205322265625,1930.0,5987.0029296875
Flow Bytes/s,16.25756072998047,10810.0,745.6044921875
Fwd Packets/s,14.028937339782715,16866.0,252.591064453125
Flow IAT Min,12.286482810974121,54298.0,461.8088684082031
Flow Packets/s,12.231260299682617,15768.0,513.9911499023438
Fwd IAT Mean,11.807690620422363,11284.0,287.4146423339844
Flow Duration,10.32724380493164,20092.0,278.8196105957031
Idle Std,6.667341232299805,314.0,1469.367431640625
Fwd IAT Max,5.400928974151611,13362.0,304.60931396484375
Fwd IAT Total,4.8870849609375,16275.0,309.24609375
